episode_id,episode_name,release_date,episode_description,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained,subscribersLost,likes,dislikes,comments,shares,thumbnail_url,thumbnail_url_maxres
ZTA2RJ6dEFc,Life Changing Lessons From 100 Of The World’s Greatest Minds | E104,2021-11-01,"This weeks episode entitled  'Life Changing Lessons From 100 Of The World’s Greatest Minds' topics:

0:00 Intro 
0:54 How to find consistency and reach your full potential - Jamil Qureshi 
08:30 Importance of failure - Elizabeth day 
19:27 How to build confidence and self-esteem - Matthew Syed 
26:48 How to deal with uncertainty - Anna Hemmings
32:00 How to get over heartbreak - Steve Peteres  
43:28 How to be happy - Mo Gawdat 


Episode 61: Jamil Qureshi - https://g2ul0.app.link/9Uurwa5tKkb 

Episode 77: Elizabeth Day - https://g2ul0.app.link/X3bK9KguKkb 

Episode 84: Matthew Syed - https://g2ul0.app.link/TsTmXvouKkb 

Episode 65: Anna Hemmings - https://g2ul0.app.link/v3hqRoEuKkb

Episode 96: Prof. Steve Peters - https://g2ul0.app.link/BDeUaN5uKkb

Episode 101: Mo Gawdat - https://g2ul0.app.link/JuYBFRsvKkb 


Jamil:
https://www.linkedin.com/in/jamil-qureshi-494661a/?originalSubdomain=uk

Elizabeth:
https://www.instagram.com/elizabday/

Matthew:
https://twitter.com/matthewsyed

Anna:
https://www.annahemmings.com/annas-story

Steve:
https://chimpmanagement.com/professor-steve-peters/

Mo:
https://www.instagram.com/mo_gawdat/


The Diary Of A CEO live - Sign up here - https://g2ul0.app.link/diaryofaceolive


FOLLOW ►
Instagram: https://www.instagram.com/steven/
Twitter: https://twitter.com/SteveBartlettSC
Linkedin: https://www.linkedin.com/in/steven-bartlett-56986834/


Sponsors: 
Huel - https://uk.huel.com/
Myenergi - https://bit.ly/3oeWGnl",688663,10133725,882,24.33,3701,113,12761,235,265,10458,https://img.youtube.com/vi/ZTA2RJ6dEFc/hqdefault.jpg,https://img.youtube.com/vi/ZTA2RJ6dEFc/maxresdefault.jpg
bsrvIIsXBVo,Diplo: College Dropout To World's Most Iconic DJ | E128,2022-03-24,"Diplo is a DJ and music producer, who as well as being one of the biggest solo DJs in the world, is one half of Major Lazer and Silk City.

This weeks episode entitled  'Diplo: College Dropout To World's Most Iconic DJ' topics:
0:00 Intro
00:58 Your early years
12:05 What drove you to follow your passion?
18:29 Faking being a DJ
23:31 How travel and culture shaped your music
26:02 How do you anticipate a hit record?
30:44 Whats been the cost of your obsession? 
38:09 Your journey with mental health
44:33 Your family
48:14 How do you handle the highs and lows?
52:03 Your new album
52:21 Balancing relationships and being on the road
01:01:23 Our last guest question

Diplo:
https://www.instagram.com/diplo/
https://open.spotify.com/album/2Lm2otWdTB4ChDfvbRXHIu 

Follow us on Telegram: https://t.me/diaryofaceo

Listen on:
Apple podcast - https://podcasts.apple.com/gb/podcast/the-diary-of-a-ceo-by-steven-bartlett/id1291423644
Spotify - https://open.spotify.com/show/7iQXmUT7XGuZSzAMjoNWlX

FOLLOW ►
Instagram: https://www.instagram.com/steven/
Twitter: https://twitter.com/SteveBartlettSC
Linkedin: https://www.linkedin.com/in/steven-bartlett-56986834/


Sponsors:
Huel - https://my.huel.com/Steven
Craftd - https://bit.ly/3JKOPFx",173001,2550102,884,23,2648,39,5966,60,267,1781,https://img.youtube.com/vi/bsrvIIsXBVo/hqdefault.jpg,https://img.youtube.com/vi/bsrvIIsXBVo/maxresdefault.jpg
v9VtjcRaRWc,5 Scientific Rules for Making & Breaking Habits in 2023! | E208,2022-12-29,"In this episode I wanted to do something that I haven't done in a while. It's been too long since it was just me, the microphone, and you. If there's one request I get over and over again, it's for more episodes of DOAC like in our early years, just me what's front of my mind - an authentic 'Diary of a CEO'.

Topics:
0:00 Intro
03:54 What are habits & why do we have them? 
16:24 Rule 1 - Stress is your puppet master 
29:13 Rule 2 - Know your cues 
31:55 Rule 3 - Don't focus on stopping bad habits, focus on breaking them
35:52 Rule 4 - You need a better reason to quit
40:51 Rule 5 - Will power is not enough 
47:21 Bonus rule number 6 

Join this channel to get access to perks:
https://bit.ly/3Dpmgx5


Listen on:
Apple podcast - https://apple.co/3TTvxDf
Spotify - https://spoti.fi/3VX3yEw


Follow:
Instagram: https://bit.ly/3CXkF0d
Twitter: https://bit.ly/3ss7pM0
Linkedin: https://bit.ly/3z3CSYM
Telegram: https://g2ul0.app.link/SBExclusiveCommun


Sponsors:
Huel - https://g2ul0.app.link/G4RjcdKNKsb
Intel - https://intel.ly/3UIYxxT
Mercedes-Benz - https://bit.ly/3yXTQI1",784303,11567488,884,25.47,11210,243,29697,314,1302,23780,https://img.youtube.com/vi/v9VtjcRaRWc/hqdefault.jpg,https://img.youtube.com/vi/v9VtjcRaRWc/maxresdefault.jpg
gelTkUE_YdE,4 Moments On The Diary Of A CEO That Changed My Life | E175,2022-09-05,"This week, we’re going to do something a little different, offering up four pearls of wisdom from our guests on how to find more connection in your life. Connection with other people, but also a better connection with yourself, what you really want, and what’s really good for you. 

0:00 intro
0:35 Mo Gawdat - Retrain Your Brain
13:21 Africa Brooke - How To Overcome A Sexless Relationship 
26:16 Bear Grylls - How To Build Resilience 
34:20 Mel Robins - What to do when you're feeling stuck


Mo:
https://www.instagram.com/mo_gawdat/ 
https://twitter.com/mgawdat

Africa:
https://www.instagram.com/africabrooke/ 
https://africabrooke.com/

Bear:
https://twitter.com/BearGrylls 
https://www.instagram.com/beargrylls/?hl=en

Mel:
https://www.instagram.com/melrobbins/ 
https://twitter.com/melrobbins


Listen on:
Apple podcast - https://podcasts.apple.com/gb/podcast/the-diary-of-a-ceo-by-steven-bartlett/id1291423644
Spotify - https://open.spotify.com/show/7iQXmUT7XGuZSzAMjoNWlX



FOLLOW ►
Instagram: https://www.instagram.com/steven/
Twitter: https://twitter.com/SteveBartlettSC
Linkedin: https://www.linkedin.com/in/steven-bartlett-56986834/


Sponsors:
Craftd - https://g2ul0.app.link/gZ8in6Dsvsb
Huel - https://g2ul0.app.link/wjmvak5nAsb",407694,6019804,885,30.59,1940,83,8673,141,237,7912,https://img.youtube.com/vi/gelTkUE_YdE/hqdefault.jpg,https://img.youtube.com/vi/gelTkUE_YdE/maxresdefault.jpg
iLlrIi9-NfQ,World Leading Psychologist: How To Detach From Overthinking & Anxiety: Dr Julie Smith | E122,2022-03-03,"This weeks episode entitled  'World Leading Psychologist: How To Detach From Overthinking & Anxiety: Dr Julie Smith' topics:

0:00 Intro
00:58 What made you want to help people?
05:32 How did a therapist make it onto tiktok? 
14:13 Dealing with rejection
23:46 The consequences of having a big platform
32:11 Having the right values & goals
39:04 How do we make meaningful change?
40:36 How do I change my mood? 
42:46 How important is sleep?
45:12 How to stay motivated 
48:09 What is the cure for overload? 
51:23 The balance of embracing emotions vs ignoring them
54:32 The stigma around addressing a situation
01:00:41 How do you build confidence
01:03:21 How important is it to not make decisions in high emotion moments?
01:07:32 Building self esteem by having a good relationship with failure
01:12:36 Using our breathing to manage anxiety 
01:20:53 Is it important to understand we’re going to die?
01:24:39 The importance of relationships
01:32:07 Are you happy?
01:33:33 The last guest question

Julie’s book:
https://www.amazon.co.uk/dp/0241529719/ref=cm_sw_r_awdo_V6BCCKNCQY8W6WBHK8W9

Julie:
https://www.tiktok.com/@drjuliesmith


Listen on:
Apple podcast - https://podcasts.apple.com/gb/podcast/the-diary-of-a-ceo-by-steven-bartlett/id1291423644
Spotify - https://open.spotify.com/show/7iQXmUT7XGuZSzAMjoNWlX



FOLLOW ►
Instagram: https://www.instagram.com/steven/
Twitter: https://twitter.com/SteveBartlettSC
Linkedin: https://www.linkedin.com/in/steven-bartlett-56986834/

Sponsor:
Huel - https://my.huel.com/Steven",3807446,56379492,888,15.4,61969,875,66161,1304,1151,52509,https://img.youtube.com/vi/iLlrIi9-NfQ/hqdefault.jpg,https://img.youtube.com/vi/iLlrIi9-NfQ/maxresdefault.jpg
ia6Di_ytiSE,Airbnb CEO: “Airbnb Was Worth $100 BILLION & I Was Lonely & Deeply Sad!”,2023-10-09,"If you enjoyed hearing from Brian Chesky about the highs and lows of creating the world’s biggest brands, I recommend you listen to my conversation with Spotify founder, Daniel Ek, here: https://www.youtube.com/watch?v=w_35cUaU_NA

This podcast is also available in French & Spanish, to change switch audio track settings on the video. 

0:00 Intro 
01:30 👶 Early Context
07:10 🌍 Creating A World Where I Can Fit In
09:14  💼 Dealing With My Addiction To Work
15:52 🚪 Being Lonely As An Entrepreneur
17:30 🤝 Rediscovering & Building Back Up Connections 
21:05 🤝 The Power Of Connections With others
23:48 ⏳ Embracing Life's Finite Nature
28:41 🚀 Start Small, Dream Big: Scaling Strategies Of Airbnb
32:40 🎨 The Power Of Creativity In Business
42:45 📊 Balancing Data & Creativity
42:59 🌍 Designing a Better Tomorrow
45:33 📉 Pushing Past Multiple Rejections When Building Airbnb
50:13 💼 The Benefits Of A Founder Led Company 
56:27 🌱 The Importance Of Culture & How To Bring The Best Out Of People
1:04:03 🎭 How To Be A Great Leader
1:06:36 💪 Airbnb's Darkest Moment
1:20:26 🏔️ Airbnb's IPO
1:25:46 💑 Rekindling Old Relationships, The Importance Of Staying Connected
1:26:36 💔 Dating Dilemmas As An Entrepreneur 
1:28:45 🏠 Airbnb's Vision
1:30:38 🌍 Combatting Loneliness with Connection

Follow Brian:
Instagram: https://bit.ly/3ti1InE
Twitter: https://bit.ly/3RSjGYo

Listen on:
Apple podcast - https://podcasts.apple.com/gb/podcast/the-diary-of-a-ceo-by-steven-bartlett/id1291423644
Spotify - https://open.spotify.com/show/7iQXmUT7XGuZSzAMjoNWlX

Join this channel to get access to perks:
https://www.youtube.com/channel/UCGq-a57w-aPwyi3pW7XLiHw/join

FOLLOW ►
Instagram: https://www.instagram.com/steven/
Twitter: https://twitter.com/SteveBartlettSC
Linkedin: https://www.linkedin.com/in/steven-bartlett-56986834/



Sponsor:
Huel: https://g2ul0.app.link/G4RjcdKNKsb 
Shopify: http://shopify.com/barlett",1113219,16510092,889,15.26,10666,324,20104,398,1214,17740,https://img.youtube.com/vi/ia6Di_ytiSE/hqdefault.jpg,https://img.youtube.com/vi/ia6Di_ytiSE/maxresdefault.jpg
TTzgD6Tn9DY,“Dynamo Is Dead!” The Heartbreaking True Story Of Why Dynamo Vanished For Years!,2023-12-14,"If you enjoy hearing about the power of magic and challenge of creativity, I recommend you check out my conversation with the illusionist, Derren Brown, which you can find here: https://www.youtube.com/watch?v=AVblCpr_qAc 


00:00 Intro
3:20 When I Was a Child, My Dad Went to Prison.
6:43 My Dad Asked Me to Engage in Illegal Activities.
13:31 I Hated School; I Was Bullied.
17:43 Magic Was My Escape and My Way of Belonging.
21:23 How Crohn's Disease Changed My Life.
26:28 Becoming a World-Famous Magician.
30:30 I Was So Ill That I Was Vomiting Blood.
35:34 I Didn’t Know What to Do with My Life.
41:09 Self-Harming.
44:53 Hitting Rock Bottom.
46:32 I Tried to End My Life.
51:52 My Loved Ones Saved Me.
54:36 Legal Disputes.
58:38 Are You Still Dynamo?
1:04:51 Therapy Sessions.
1:06:25 Coping Mechanisms.
1:12:01 My Mum’s Toxic Relationships and My Resentment Towards Her.
1:18:21 Your New TV Show and Returning to Magic.
01:27:40 Magic Tricks.

Dynamo is back! But not as you have known him before… 'Dynamo is Dead' On Sky Max: http://bit.ly/3RHqSWC

Follow Dynamo: 
Instagram: https://bit.ly/4agid4C
Twitter:  https://bit.ly/3uTAKDH

Sonic rest therapy: https://edcanhelp.io/

The Conversation Cards:
https://bit.ly/4amtNew

My new book! 'The 33 Laws Of Business & Life' is out now:
https://smarturl.it/DOACbook


Follow me:
Instagram: http://bit.ly/3nIkGAZ
Twitter: http://bit.ly/3ztHuHm
Linkedin: https://bit.ly/41Fl95Q
Telegram: http://bit.ly/3nJYxST

Sponsors: 
Huel: https://try.huel.com/steven-bartlett
WHOOP: https://join.whoop.com/en-uk/CEO",2501798,37218667,892,15.15,30434,942,49565,859,5396,12510,https://img.youtube.com/vi/TTzgD6Tn9DY/hqdefault.jpg,https://img.youtube.com/vi/TTzgD6Tn9DY/maxresdefault.jpg
w8h4qksd6Yw,"The Pregnancy Doctor: Pregnancy Is Halved Every Year After Age 32! If You Want 2+ Children, DO THIS!",2024-06-03,"Dr Natalie Crawford is a double board-certified fertility doctor. She is also the co-founder of Fora Fertility clinic and Pinnacle Conference, a leadership conference for women in medicine.

00:00 Intro
02:24 You Need To Look After Your Fertility Even Before You Want Children
04:31 We're Struggling More Than Ever To Have Children
07:00 Are We Having Less Sex?
07:47 Sperm Count Is Declining At Scary Risk
10:38 I Had 4 Pregnancy Losses And It's Devastating
13:36 The Stigma Of Infertility
16:15 Infertility Is Not Just A Female Issue, Men Are Affected Too
18:49 Understanding The Basics Of Fertility
22:26 Environmental Factors Affecting Male And Female Fertility
26:32 Are Phones And Laptops Bad For Fertility?
29:40 Heat And Infertility
30:15 What Testosterone Replacement Therapy Does To Your Sperm
31:45 The Egg Vault
35:25 Egg Production And Anomalies
42:41 Regret, Hindsight Of Patients And What You Can Do
47:16 What Has Changed Since Our Parents
49:06 The Effects Of An Unhealthy Lifestyle
54:07 Sleep Is Crucial In Your Reproductive Hormone System
55:07 How Stress Impacts Fertility
57:14 The Best Diets For Good Fertility
59:11 How Dairy Impacts Your Fertility
01:01:05 You Need To Understand The Reproductive Cycle To Know How Exercise Impacts It
01:10:58 Menstrual Irregularities And What's Normal
01:16:57 How Long Does It Take To Get Pregnant?
01:17:50 When Trying To Have Children Sex Can Become A Chore
01:21:43 Purchasing Sperm From The Black Market
01:24:48 PCOS Explained
01:30:59 PCOS Diagnosis
01:33:50 Link Between PCOS & Endometrial Cancer
01:37:02 What Is Endometriosis & How Do You Know You Have It
01:43:55 What Happens When You Come Off The Pill And Want To Have Children
01:46:25 Advice For People With Endometriosis And PCOS, If They Want To Have Children
01:49:36 Getting Started With Freezing Eggs And Embryos And Success Rate
01:55:15 The Cost Of Fertility Procedures
01:56:40 IVF Stigma
01:58:42 Ads
01:59:32 When To Think About Fertility Treatment
02:01:54 Dummies Guide To IVF
02:06:38 Myths Of Conception
02:08:54 Best Sex Position To Get Pregnant
02:10:33 Is Birth Control Healthy?
02:13:36 What Can People Do If They Struggle With Infertility?
02:15:40 Last Guest Question

Follow Natalie: 
Instagram - https://bit.ly/3yIQJ9L 
Twitter - https://bit.ly/3wLxtb6 
YouTube - https://bit.ly/4551ZZY 

Follow me:
https://beacons.ai/diaryofaceo  

Sponsors: 
Shopify: http://shopify.com/bartlett",1812870,27249215,901,10.53,13547,388,30265,746,2402,48071,https://img.youtube.com/vi/w8h4qksd6Yw/hqdefault.jpg,https://img.youtube.com/vi/w8h4qksd6Yw/maxresdefault.jpg
H0lbv1pgMc0,"Tony Hawk: The Man With The $1.4 Billion Name! Burnout, Obsession & Regrets",2023-03-27,"Tony Hawk is an American professional skateboarder, he landed the first “900” trick and has a skateboarding video game series named after him which made $1.4 billion.


Topics:

00:00 Intro
02:28 Becoming the person I am today
14:07 Where does your talent come from?
17:00 My skating career & the struggles along the way
31:45 What did burnout teach you?
43:23 What’s the secret to your success?
48:37 Twelve years to master your biggest trick
57:27 Your video game made $1.4 billion
01:03:11 Ads
01:04:11 What advice would you give your younger self?
01:07:48 Intimacy & fame
01:15:40 Entrepreneurship
01:17:24 The words you never said
01:22:02 Last guest’s question

Tony Hawk:
Instagram: http://bit.ly/3TRcn1V
Website: http://bit.ly/3TQQYWM


The conversation cards waitlist is now open, join now:
http://bit.ly/3ZzQfKz


Join this channel to get access to perks:
https://bit.ly/3Dpmgx5

Listen on:
Apple podcast - https://apple.co/3TTvxDf
Spotify - https://spoti.fi/3VX3yEw

Follow:
Instagram - https://bit.ly/3CXkF0d
Twitter - https://bit.ly/3wBA6bA
Linkedin - https://bit.ly/3z3CSYM
Telegram - https://g2ul0.app.link/SBExclusiveCommun

Sponsors:
Airbnb: https://bit.ly/3ZDyvPD
Wework: https://we.co/ceo
Huel: https://g2ul0.app.link/G4RjcdKNKsb",353382,5335737,905,17.22,1978,107,6933,85,402,1766,https://img.youtube.com/vi/H0lbv1pgMc0/hqdefault.jpg,https://img.youtube.com/vi/H0lbv1pgMc0/maxresdefault.jpg
L7zWT3l3DV0,Doctor Gabor Mate: The Shocking Link Between Kindness & Illness!,2023-10-12,"If you enjoyed this video, you will love my first conversation with Dr Gabor Mate, which you can find here: https://www.youtube.com/watch?v=uPup-1pDepY

0:00 Intro
03:45 🤝 How Vocalising Stress Enhances Emotional Control and Understanding
08:03 📵 Importance of Disconnecting: Mental Health and Taking Sabbaticals from the Internet
13:26 🔄 Healing Childhood Wounds: Acknowledging Unmet Needs and Self-Discovery
23:17 💡 Reconnecting with Childhood Intuition: Gut Feelings and Emotional Clarity
24:36 🧠 Gut-Brain Connection: Childhood Trauma and Grounding Techniques
27:50 🤝 Autoimmune Diseases and Emotional Patterns: Breaking the Cycle
30:57 💑 Emotional Intimacy in Relationships: Avoiding Mothering Dynamics
37:34 🤝 Suppressing Healthy Anger and its Impact on Immunity
43:43 🙅‍♂️ Trauma and Authenticity: Overcoming People-Pleasing Habits
48:41 🧠 Repressed Anger and its Link to Illnesses like ALS
49:08 🩺 ALS Patients' Niceness and its Connection to Health
52:11 🚪 Setting Boundaries: Key to Healing and Self-Discovery
01:00:46 🏥 Preventing Trauma-Related Illnesses: Addressing Emotional Needs
01:11:31 💔 Childhood Experiences and Adult Health: Heart Attacks and Strokes
01:12:28 🧠 Impact of Negative Labels on Self-Worth: Childhood to Adulthood
01:15:26 🙅‍♂️ Childhood Emotional Recognition: Importance of Self-Awareness
01:20:47 🌬️ Shallow Breathing and Chronic Stress
01:24:18 💑 Building Genuine Emotional Intimacy for Meaningful Relationships
01:34:43 🎯 Defining Goals: Work, Health, Relationships, and Emotional Wellness
01:36:06 🤔 Aligning Intentions with Actions: Strengthening Goal-Oriented Living
01:38:27 🧘 Pursuing Inner Peace: Importance of Emotional Harmony and Well-Being
01:44:41 💖 Embracing Vulnerability and Growth: Authenticity in Personal Development
01:46:56 🙏 Gratitude and Connection: Fostering Wholeness and Meaningful Bonds

You can purchase Dr. Mate’s most recent book, ‘The Myth of Normal: Trauma, Illness & Healing in a Toxic Culture’, here: https://amzn.to/40unjpo

Follow Gabor:
Instagram: https://bit.ly/46vt340
Twitter: https://bit.ly/3RSjGYo

Listen on:
Apple podcast - https://podcasts.apple.com/gb/podcast/the-diary-of-a-ceo-by-steven-bartlett/id1291423644
Spotify - https://open.spotify.com/show/7iQXmUT7XGuZSzAMjoNWlX

Join this channel to get access to perks:
https://www.youtube.com/channel/UCGq-a57w-aPwyi3pW7XLiHw/join

FOLLOW ►
Instagram: https://www.instagram.com/steven/
Twitter: https://twitter.com/SteveBartlettSC
Linkedin: https://www.linkedin.com/in/steven-bartlett-56986834/



Sponsors:
Huel: https://g2ul0.app.link/G4RjcdKNKsb 
Whoop: join.whoop.com/CEO
Linkedin: linkedin.com/doac",4111186,62011706,905,13.36,39024,915,88953,1884,5949,125588,https://img.youtube.com/vi/L7zWT3l3DV0/hqdefault.jpg,https://img.youtube.com/vi/L7zWT3l3DV0/maxresdefault.jpg
AehL3u-H7FI,Grace Beverley: How To Build A Multi-Million Pound Empire At 24 | E69,2021-02-22,"This weeks episode entitled  'How To Build A Multi-Million Pound Empire At 24' topics:

0:00 Intro
02:14 How did you have the confidence to pursue such an uncertain career 
13:09 How does it feel being discredited for what you've done? 
19:08 Sacrifice of business  
33:10 Your mental health
50:22 Relationships as a young successful woman
55:58 How has being a successful person changed you?  
01:02:56 Your take on working culture 
01:12:01 By stepping back from social media did you let the negativity win? 
01:15:53 What area of business are you best at? 
01:27:30 What area of business are you bad at?
01:37:04 Instagram 
01:39:49 Any big regrets?
01:42:19 Worries about your book
01:45:07 How do you battle with all your ideas

Grace:
https://www.instagram.com/gracebeverley/?hl=en

Listen on:
Apple podcast - https://podcasts.apple.com/gb/podcast/the-diary-of-a-ceo-by-steven-bartlett/id1291423644
Spotify - https://open.spotify.com/show/7iQXmUT7XGuZSzAMjoNWlX
a
My book pre-order: 
(UK, US, AUS, NZ Link) - http://hyperurl.co/xenkw2
(EU & Rest of the World Link) https://www.bookdepository.com/Happy-Sexy-Millionaire-Steven-Bartlett/9781529301496?ref=grid-view&qid=1610300058833&sr=1-2

FOLLOW ►
Instagram: https://www.instagram.com/steven/
Twitter: https://twitter.com/SteveBartlettSC
Linkedin: https://www.linkedin.com/in/steven-bartlett-56986834/


Sponsors:
https://uk.huel.com/
https://www.fiverr.com/ceo",595928,9014340,907,12.9,4909,103,9674,248,282,3118,https://img.youtube.com/vi/AehL3u-H7FI/hqdefault.jpg,https://img.youtube.com/vi/AehL3u-H7FI/maxresdefault.jpg
r3atRG5wvtg,The Man Who Can Predict How Long You Have Left To Live (To The Nearest Month): Gary Brecka | E225,2023-02-27,"Gary Brecka is one of the world’s foremost experts on how breath work can transform your life, and how thinking differently about nutrition can protect us against disease and make us the best version of ourselves.

Topics:
00:00 Intro
01:37 Why you should watch this episode
10:36 Why are you so passionate about this?
22:27 ADHD & Anxiety
33:59 Gut motility
38:24 Vitamin deficiencies
52:42 Gene mutations
59:35 Saving Dana White's life 
01:10:17 Breath work
01:14:46 Cold water plunging
01:17:40 Comfort
01:22:25 Travel
01:29:00 Last guest’s questions


Gary:
Instagram: http://bit.ly/3IVf6Dw
Twitter: http://bit.ly/41w492P
Gary Brecka: http://bit.ly/3Iwemn2

Join this channel to get access to perks:
https://bit.ly/3Dpmgx5

Listen on:
Apple podcast - https://apple.co/3TTvxDf
Spotify - https://spoti.fi/3VX3yEw

Follow:
Instagram - https://bit.ly/3CXkF0d
Twitter - https://bit.ly/3wBA6bA
Linkedin - https://bit.ly/3z3CSYM
Telegram - https://g2ul0.app.link/SBExclusiveCommun

Sponsors:
Huel: https://g2ul0.app.link/G4RjcdKNKsb",3793566,57412993,908,16.15,71954,1574,107431,2094,5617,193004,https://img.youtube.com/vi/r3atRG5wvtg/hqdefault.jpg,https://img.youtube.com/vi/r3atRG5wvtg/maxresdefault.jpg
V6mZJRb9MZY,"Bear Grylls: Man VS Failure, Anxiety & Imposter Syndrome | E155",2022-06-27,"Bear Grylls is a British adventurer and television host who has been an international sensation of survival shows for twenty years. The host of Man vs. Wild, You vs. Wild, Running Wild, The Island, and the author of Mud, Sweat and Tears and over twenty other books, he's come in to talk to us about his new book - Never Give Up. 

Topics:
00:00 Intro
01:28 Confidence 
08:08 Imposter syndrome
14:27 Resilience
20:01 When to quit
23:26 Are we always chasing a bigger challenge?
27:22 Finding your faith
32:37 Climbing Everest was humbling
35:37 Struggling with fame
41:35 Anxiety
46:41 What were your darkest moments?
49:38 What would you say to your father if he was alive?
55:36 The importance of relationships
01:00:59 Is your career complete?
01:05:30 Your latest and most special book: What did it teach you?
01:10:22 Our last guest's question

Bear:
https://twitter.com/BearGrylls
https://www.instagram.com/beargrylls/?hl=en 

Bear’s book:
https://www.amazon.co.uk/Never-Give-extraordinary-autobiography-phenomenon/dp/


Listen on:
Apple podcast - https://podcasts.apple.com/gb/podcast...
Spotify - https://open.spotify.com/show/7iQXmUT...

FOLLOW ►
Instagram: https://www.instagram.com/steven/
Twitter: https://twitter.com/SteveBartlettSC
Linkedin: https://www.linkedin.com/in/steven-ba...

Sponsors:
Huel - https://my.huel.com/Steven
Myenergi - https://bit.ly/3oeWGnl
Vodafone Business - https://bit.ly/3Nagd1l
Min term and eligibility criteria apply. £200 via prepaid card. Small business customers (less than 10 employees) only. 75K & 115K based on customer trial. For full terms and conditions please visit www.vodafone.co.uk/digitalboost.",513889,7911504,923,20.68,3839,81,11687,92,586,4899,https://img.youtube.com/vi/V6mZJRb9MZY/hqdefault.jpg,https://img.youtube.com/vi/V6mZJRb9MZY/maxresdefault.jpg
3uLDin9A9pc,Jordan Peterson: How To Become The Person You’ve Always Wanted To Be | E113,2022-01-03,"This weeks episode entitled  'Jordan Peterson: How To Become The Person You’ve Always Wanted To Be' topics:

0:00 Intro
02:22 Speaking my truth - the consequences of acting
08:06 How do you become who you want to be? 
14:44 How do you build self-awareness?
22:04 Whats the importance of struggle?
25:30 Remote working
38:14 What do we learn from change? 
48:56 How do I encourage someone out of despair? 
56:37 How are you doing?
01:02:34 Our last guest question


Jordan:
https://www.instagram.com/jordan.b.peterson/
https://twitter.com/jordanbpeterson
@JordanBPeterson 

Listen on:
Apple podcast - https://podcasts.apple.com/gb/podcast/the-diary-of-a-ceo-by-steven-bartlett/id1291423644
Spotify - https://open.spotify.com/show/7iQXmUT7XGuZSzAMjoNWlX


FOLLOW ►
Instagram: https://www.instagram.com/steven/
Twitter: https://twitter.com/SteveBartlettSC
Linkedin: https://www.linkedin.com/in/steven-bartlett-56986834/


Sponsors: 
Huel - https://uk.huel.com/
Myenergi - https://bit.ly/3oeWGnl",9755583,151260853,930,23.71,131525,2042,237664,4935,6956,155597,https://img.youtube.com/vi/3uLDin9A9pc/hqdefault.jpg,https://img.youtube.com/vi/3uLDin9A9pc/maxresdefault.jpg
qqabbfk9wV8,The No.1 Poo & Gut Scientist: If Your Poo Looks Like This Go To A Doctor! Dr Will Bulsiewicz,2024-01-01,"If you enjoy hearing all about gut health with Dr Will Bulsiewicz, I recommend you check out my conversation with Dr Tim Spector, which you can find here: https://www.youtube.com/watch?v=66hWntvp0_4&t=2165s

00:00 Intro
02:16 Why Is The Gut Microbiome So Important?
05:32 What Are Gut Microbes?
10:14 Everyone's Microbes Are Different.
13:35 Link Between The Immune System And The Gut.
17:41 Foods To Improve Gut Health
25:46 Fermented And Prebiotic Foods.
33:13 The Relationship Between Our Gut & Metabolism 
35:39 What Your Poo Says About Your Health.
40:24 How Fiber Affects Your Gut.
43:58 How A Poo Transplant Could Improve Health Conditions.
54:42 Calorie Counting.
59:25 Medicine For Losing Weight: Pros & Cons.
01:07:18 What Your Poo Should Look Like.
01:13:29 How To Have A Healthy Gut.
01:16:32 Different Poo Colours And Health Conditions.
01:23:44 Ads
01:25:22 Is The Gut Microbiome Inherited?
01:29:25 Stress Will Affect Your Gut.
01:33:01 How Alcohol Affects Your Gut.
01:35:34 The Brain Gut Connection
01:37:32 How To Heal Your Gut.
01:42:45 The Best Diets.
01:50:31 The Link Between Good Sex And Your Gut.
01:56:55 The Best Supplements For Your Gut.
01:59:17 Last Guest Question.

Additional Interview Information:
Interview Brief: https://drwillbrief.tiiny.site
The Bristol Stool Chart: https://bit.ly/486k4Yo
Dr Will’s supplement: https://38tera.com

You can purchase Dr Will’s book, ‘Fibre Fuelled: The Plant-Based Gut Health Plan to Lose Weight, Restore Health and Optimise Your Microbiome’, here: https://amzn.to/47YuitQ

Follow Dr Will: 
Instagram: https://bit.ly/3tyHQgu
Website: https://bit.ly/3tsZum4


Get tickets to The Business & Life Speaking Tour: https://stevenbartlett.com/tour/

FOLLOW ►
Instagram: https://www.instagram.com/steven/
Twitter: https://x.com/StevenBartlett?s=20
Linkedin: https://www.linkedin.com/in/steven-bartlett-56986834/

Sponsors:
The Conversation Cards: https://thediary.com/products/the-cards
Zoe: http://joinzoe.com with an exclusive code CEO10 for 10% off
Huel: https://my.huel.com/daily-greens-uk",4560043,70877878,932,12.51,49553,1842,94726,1753,5054,107972,https://img.youtube.com/vi/qqabbfk9wV8/hqdefault.jpg,https://img.youtube.com/vi/qqabbfk9wV8/maxresdefault.jpg
